Candidate,Experience,Test Score,Interview Score,Graduation Score,Selection
0,6,8,8,0.9,Yes
1,6,5,4,0.75,No
2,3,6,5,0.78,No
3,5,9,9,0.96,Yes
4,6,3,5,0.67,No
5,6,2,1,0.53,No
6,10,8,6,0.79,Yes
7,1,1,2,0.47,No
8,15,9,9,0.92,Yes
9,13,7.5,7.5,0.85,Yes
10,10,5,5,0.76,Yes
11,6,1,1,0.6,No
12,1,3,6,0.71,No
13,4,5,4,0.59,No
14,6,5,6,0.61,Yes
15,11,9,8,0.89,No
16,12,9,9,0.95,Yes
17,6,2,6,0.77,No
18,3,5,5,0.7,No
19,5,6,7,0.73,Yes
20,7,6,5,0.81,Yes
21,6,8,4,0.88,Yes
22,12,4,7,0.69,Yes
23,5,9,9,0.94,Yes
24,2,5,2,0.76,No
25,9,7,5,0.79,Yes
